2025-07-11T10:56:59.334217,Tesla recalls 2 million vehicles over safety concerns,TSLA A,13.03
2025-07-11T10:57:06.347418,Meta launches new AI product to rival ChatGPT,META A,7.01
2025-07-11T10:57:15.683668,Tesla recalls 2 million vehicles over safety concerns,TSLA A,9.33
2025-07-11T10:57:24.628506,Meta launches new AI product to rival ChatGPT,META A,8.94
2025-07-11T11:03:14.853308,Apple to acquire Microsoft in historic tech deal,aapl a,6.30
2025-07-11T11:03:18.246856,Tesla recalls 2 million vehicles over safety concerns,adf,3.39
2025-07-11T11:03:19.221311,Tesla recalls 2 million vehicles over safety concerns,adfad,0.97
2025-07-11T11:03:19.907869,Meta launches new AI product to rival ChatGPT,adfad,0.68
2025-07-11T11:03:20.531126,Meta launches new AI product to rival ChatGPT,fds,0.62
2025-07-11T11:03:21.443840,Apple to acquire Microsoft in historic tech deal,dfs,0.91
2025-07-11T11:03:22.179906,Nvidia surges after record-breaking earnings,sdfsdf,0.73
2025-07-11T11:05:38.310616,Apple to acquire Microsoft in historic tech deal,msft a,6.03
2025-07-11T11:05:41.747459,Meta launches new AI product to rival ChatGPT,sdfs,3.42
2025-07-11T11:05:43.107561,Nvidia surges after record-breaking earnings,sdf,1.35
2025-07-11T11:05:44.419803,Apple to acquire Microsoft in historic tech deal,fd,1.31
2025-07-11T11:05:45.044007,Nvidia surges after record-breaking earnings,df,0.62
2025-07-11T11:05:45.525878,Tesla recalls 2 million vehicles over safety concerns,df,0.47
2025-07-11T11:05:46.244883,Apple to acquire Microsoft in historic tech deal,dsf,0.71
2025-07-11T11:07:34.038977,Tesla recalls 2 million vehicles over safety concerns,TSLA A,6.84
2025-07-11T11:07:38.421381,Nvidia surges after record-breaking earnings,NVDA A,4.36
2025-07-11T11:07:41.396712,Tesla recalls 2 million vehicles over safety concerns,TSLA B,2.97
2025-07-11T11:07:48.403792,Apple to acquire Microsoft in historic tech deal,AAPL C,7.00
2025-07-11T11:09:20.084967,Meta launches new AI product to rival ChatGPT,meta a,4.74
2025-07-11T11:14:49.110243,Apple and Microsoft announce strategic partnership,aapl a,5.71
2025-07-11T11:14:53.875608,Nvidia surges after record-breaking earnings,nvda a,4.75
2025-07-11T11:14:56.358665,Tesla recalls 2 million vehicles over safety concerns,tsla a,2.48
2025-07-11T11:15:01.558272,Meta launches new AI product to rival ChatGPT,meta b,5.19
